Street;City;propertycard__detailvalue;quartos;banheiros;vagas;price
Avenida Itacira, 255 ; Planalto Paulista, São Paulo ;1000;4;8;6;R$ 7.000.000
Rua Aurelia Perez Alvarez, 42 ; Jardim dos Estados, São Paulo ;469-524;3-6;3-6;4;R$ 3.700.000
Rua Alba Valdez ; Jardim Reimberg, São Paulo ;125;4;3;2;R$ 380.000
Jardim Morumbi, São Paulo ; SP;310;3;2;4;R$ 685.000
Rua Tobias Barreto, 195 ; Mooca, São Paulo ;100;3;2;2;R$ 540.000
Rua Graham Bell ; Santo Amaro, São Paulo ;440;4;4;6;R$ 1.980.000
Rua Francisco Paulo, 31 ; Cidade Mãe do Céu, São Paulo ;145;4;4;2;R$ 850.000
Rua Guilherme Valente, 150 ; Jardim Vergueiro, São Paulo ;150;2;2;2;R$ 450.000
Rua Sagrada Família, 8 ; Jardim Benfica, São Paulo ;46-50;2;1;1;R$ 199.900
Rua Tapaji ; Vila Alpina, São Paulo ;114;3;3;2;R$ 585.000
Rua Vigário João Álvares, 66 ; Vila Monumento, São Paulo ;261;4;4;3;R$ 700.000
Jardim Luzitânia, São Paulo ; SP;436;4;3;3;R$ 15.000
Rua Tuim, 449 ; Vila Uberabinha, São Paulo ;193;3;3;2;R$ 2.500.000
Rua Antônio Pereira Mendes, 98 ; Jardim Prudência, São Paulo ;251;3;5;4;R$ 1.700.000
Rua João Antunes Carvalho, 75 ; Lauzane Paulista, São Paulo ;300;4;5;4;R$ 1.150.000
Rua Rúben Dario Almonacid, 321 ; São Paulo II, Cotia ;500;3;5;6;R$ 1.999.000
Rua Timbé ; Jardim Santa Maria, São Paulo ;135;3;3;2;R$ 550.000
Rua João Tauler ; Vila Nova, São Paulo ;180;4;2;4;R$ 420.000
Rua Alice Garcia Vega, 345 ; Itaberaba, São Paulo ;300;3;5;4;R$ 2.232.000
Rua Graham Bell, 332 ; Santo Amaro, São Paulo ;772;7;7;6;R$ 2.700.000
Avenida Antônio Joaquim de Moura Andrade, 294 ; Vila Nova Conceição, São Paulo ;605;3;3;4;R$ 4.190.000
Rua Marcos Fernandes, 1039 ; Jardim da Saúde, São Paulo ;110;3;2;5;R$ 860.000
Estrada Tenente Marques, 4900 ; Vila Poupança, Santana de Parnaíba ;66-95;2-3;2;1-2;R$ 375.000
Rua José Leão dos Santos, 606 ; Jardim Santo Antônio, São Paulo ;250;4;4;4;R$ 650.000
Rua Jaime Pinto Ferreira, 93 ; Vila Mazzei, São Paulo ;120;2;1;1;R$ 490.000
Rua Aldo de Azevedo ; Vila Madalena, São Paulo ;170;2;2;1;R$ 1.485.000
Rua Antônio Wey, 161 ; Jardim Ivana, São Paulo ;250;3;1;5;R$ 650.000
Rua João Francisco de Moura, 111 ; Vila Campo Grande, São Paulo ;110;3;3;2;R$ 550.000
