Logradouro;Bairro;Preço (R$);Número;Mínimo Área (m²);Máximo Área (m²);Mínimo Quartos;Máximo Quartos;Mínimo Banheiros;Máximo Banheiros;Mínimo Vagas;Máximo Vagas
Rua Ulisses Esteves Costa;Santana;1.700.000;39;305;305;3;3;3;3;2;2
Rua Humberto I;Vila Mariana;1.800.000;1046;300;300;3;3;3;3;5;5
Rua Irmão Gonçalo;Jardim das Bandeiras;5.700.000;31;810;810;6;6;5;5;8;8
Rua Lauro Freire;Jardim Celeste;638.500;42;120;120;3;3;1;1;2;2
Rua Damiana da Cunha;Santa Teresinha;1.908.000;70;382;382;3;3;1;1;5;5
Rua Vespasiano;Vila Romana;2.980.000;556;550;550;4;4;2;2;6;6
Rua Fernão Dias;Pinheiros;1.750.000;217;220;220;6;6;2;2;4;4
Rua Francisco Correia Dutra;Jardim Maria Luiza;429.000;209;94;94;2;2;2;2;2;2
Rua Aperca;Boaçava;8.000.000;409;1074;1074;4;4;4;4;6;6
Rua dos Otonis;Vila Clementino;2.350.000;289;220;220;4;4;2;2;7;7
Rua Marambá;Água Fria;1.270.000;35;200;200;4;4;4;4;5;5
Rua Ytaipu;Mirandópolis;1.790.000;489;270;270;4;4;3;3;3;3
Rua Tomé Portes;Brooklin Paulista;1.900.000;555;480;480;4;4;4;4;3;3
Rua Ministro Eduardo de Campos Maia;Jardim Bonfiglioli;1.100.000;123;170;170;3;3;3;3;3;3
Rua Bento de Faria;Bosque da Saúde;2.780.000;220;500;500;5;5;8;8;7;7
Rua Montevidéu;Bela Aliança;2.490.000;0;298;298;3;3;4;4;5;5
Rua Acarapé;Chácara Inglesa;1.385.000;364;400;400;3;3;3;3;2;2
Rua Rubi;Vila do Encontro;2.400.000;76;395;395;4;4;2;2;3;3
Rua Asfaltite;Vila Formosa;580.000;63;120;120;2;2;3;3;1;1
Rua Raul de Morais Vítor;Vila Albertina;498.000;120;150;150;5;5;6;6;2;2
Rua Boa Esperança do Sul;Jardim Guedala;2.700.000;57;406;406;4;4;4;4;3;3
Rua Araporé;Jardim Guedala;4.000.000;209;431;431;4;4;5;5;6;6
Rua Domingos Nogueira;Jardim Dracena;445.000;137;173;173;2;2;3;3;4;4
Rua Dom Sebastião do Rego;Vila Gumercindo;800.000;339;206;206;3;3;1;1;1;1
Rua Pedro Doll;Santana;590.000;99;100;100;2;2;2;2;1;1
Rua Doutor José de Moura Resende;Caxingui;1.800.000;266;277;277;3;3;3;3;5;5
Alameda Franca;Jardim Paulista;2.600.000;587;137;137;9;9;2;2;1;1
Rua Conselheiro Zacarias;Jardim Paulista;9.000.000;50;580;580;4;4;4;4;3;3
Rua Rosário do Sul;Jardim Maringá;1.050.000;0;274;274;3;3;4;4;6;6
Rua Doutor Rafael Caramuru Lanzelloti;Aclimação;850.000;77;200;200;2;2;1;1;1;1
Rua das Camélias;Mirandópolis;1.900.000;65;330;330;4;4;3;3;6;6
Rua Doutor João Neves Neto;Jardim Guedala;2.300.000;516;379;379;3;3;5;5;3;3
Rua Filipe de Gusmão;Sumarezinho;905.000;158;120;120;3;3;3;3;1;1
Rua Abagiba;Vila da Saúde;680.000;1101;170;170;3;3;2;2;3;3
Rua Leônidas Freire;Vila Liviero;750.000;206;280;280;6;6;5;5;3;3
Rua Urbanizadora;Sumaré;5.000.000;49;273;273;3;3;5;5;4;4
Rua Pereira Caldas;Jardim da Glória;950.000;261;250;250;3;3;4;4;3;3
Rua da Dança Cigana;Jardim Vaz de Lima;445.000;394;100;100;3;3;1;1;1;1
Rua Arizona;Cidade Monções;1.779.990;0;150;150;3;3;1;1;2;2
Rua Domingos Augusto Setti;Jardim Vila Mariana;2.100.000;36;210;210;4;4;5;5;4;4
Rua Itapacurai;Paraíso do Morumbi;820.000;39;107;107;3;3;2;2;2;2
Rua Brigadeiro Gama Barcelos;Parque Jabaquara;540.000;303;145;145;2;2;4;4;2;2
Rua General Bagnuolo;Quinta da Paineira;650.000;173;246;246;3;3;3;3;2;2
Rua Leão XIII;Jardim São Bento;1.350.000;1;267;267;3;3;5;5;4;4
Rua Simão Machado;Tucuruvi;460.000;101;90;90;2;2;2;2;2;2
Rua Taguató;Vila Fernandes;450.000;0;180;180;5;5;4;4;3;3
Avenida Professor Fonseca Rodrigues;Alto de Pinheiros;6.863.720;706;500;500;4;4;5;5;4;4
Rua Moisés Anaute;Jardim Odete;1.030.000;0;220;220;3;3;5;5;4;4
Rua Bergamota;Alto da Lapa;1.200.000;284;190;190;2;2;2;2;3;3
Rua Kohei Yokoyana;Jardim Peri Peri;1.200.000;0;139;139;5;5;5;5;5;5
Rua Panapoi;Campo Belo;1.450.000;155;130;130;2;2;1;1;6;6
Rua Suécia;Jardim Europa;18.000.000;223;872;872;4;4;5;5;7;7
Rua Miguel Teles Júnior;Cambuci;775.000;43;250;250;3;3;4;4;1;1
Rua Antônio Ambuba;Parque Munhoz;690.000;32;124;124;3;3;2;2;2;2
Rua Amarais;Vila Carrão;1.000.000;0;300;300;6;6;5;5;3;3
Rua Baré;Vila Romana;3.500.000;103;350;350;4;4;6;6;4;4
Rua Giovanni Carnovali;Vila Caraguatá;580.000;92;120;120;3;3;2;2;2;2
Rua Pongada;Jardim Panorama;2.000.000;110;389;389;4;4;6;6;4;4
Rua Romão Gomes;Butantã;2.930.000;101;470;470;4;4;6;6;3;3
Rua Olegário Mariano;Jardim Guedala;10.000.000;810;837;837;4;4;4;4;10;10
Rua Comprida;Vila Mazzei;530.000;212;120;120;3;3;2;2;2;2
Rua Marquês de Herval;Vila da Saúde;535.000;31;90;90;2;2;2;2;1;1
Rua Assungui;Vila Gumercindo;1.500.000;841;487;487;3;3;2;2;3;3
Rua Maestro Elias Lobo;Jardim Paulista;30.000.000;126;1060;1060;5;5;5;5;4;4
Avenida Doutor Cardoso de Melo;Vila Olímpia;2.900.000;379;200;200;3;3;3;3;2;2
Alameda dos Nhambiquaras;Indianópolis;600.000;2075;80;80;2;2;2;2;2;2
Rua Pai Gomes Charinho;Parque Santa Cecília;300.000;0;250;250;3;3;2;2;4;4
Rua Genova;Jardim Leonor Mendes de Barros;1.350.000;440;300;300;5;5;6;6;4;4
Rua Olival Costa;Vila Dom Pedro I;1.300.000;74;330;330;4;4;4;4;3;3
Rua Francisco Farel;Jardim das Bandeiras;3.800.000;209;420;420;4;4;5;5;5;5
Alameda dos Indígenas;Planalto Paulista;1.450.000;364;314;314;3;3;4;4;2;2
Rua João José dos Santos;Jardim Olympia;950.000;116;230;230;3;3;1;1;6;6
Rua das Heras;Vila Lúcia;470.000;1;86;86;2;2;3;3;1;1
Rua Amélia Correa Fontes Guimarães;Vila Progredior;1.400.000;484;258;258;3;3;4;4;3;3
Rua Aiarani;Tatuapé;380.000;24;80;80;2;2;2;2;1;1
Rua Dom Tomás Costa e Lima;Retiro Morumbi;4.980.000;2110;600;600;3;3;6;6;8;8
Alameda dos Guaiases;Indianópolis;1.190.000;495;242;242;4;4;4;4;10;10
Rua Joazeiro;Sumaré;3.900.000;66;550;550;3;3;5;5;6;6
Rua Vinte e Quatro de Outubro;Vila Dom Pedro I;1.380.000;327;180;180;4;4;3;3;3;3
Rua Levotti Grottera;Paineiras do Morumbi;3.500.000;77;420;420;4;4;3;3;6;6
Rua Engenheiro Sá Rocha;Vila Ida;2.970.000;385;490;490;5;5;4;4;10;10
Rua Medeiros Furtado;Vila Formosa;650.000;188;124;124;3;3;3;3;2;2
Rua Nova Pátria;Bosque da Saúde;1.550.000;299;275;275;4;4;4;4;4;4
Rua das Malvas;Cidade Jardim;2.200.000;216;359;359;4;4;4;4;6;6
Rua Rino Levi;Jardim da Glória;2.100.000;70;236;236;3;3;5;5;3;3
Rua Capanezinho;Jardim Maria Duarte;460.000;195;180;180;2;2;2;2;4;4
Rua Pedrinhas;Vila Sonia;4.800.000;167;400;400;3;3;4;4;4;4
Rua Manduri;Jardim Paulistano;9.800.000;0;740;740;5;5;6;6;5;5
Rua Santa Rufina;Jardim Santo Amaro;2.200.000;44;390;390;4;4;6;6;4;4
Rua Professor Luciano Gualberto;Jardim Morumbi;2.900.000;282;600;600;4;4;6;6;2;2
Rua Domingos Lopes;Campo Belo;1.070.000;510;200;200;2;2;2;2;2;2
Rua Vasconcelos Drumond;Vila Monumento;1.300.000;224;145;145;3;3;1;1;4;4
Rua Artur de Souza Marques;Vila Tramontano;8.600.000;322;1000;1000;4;4;6;6;6;6
Rua Pianú;Vila Ida;2.970.000;345;527;527;5;5;3;3;8;8
Rua Mauro Dalay;Conjunto Residencial Bandeirantes;750.000;1;450;450;4;4;3;3;2;2
Rua Leucina;Cidade Vargas;620.000;106;190;190;3;3;1;1;2;2
Rua São Gall;Vila Ipojuca;1.200.000;6;250;250;3;3;3;3;4;4
Rua Coronel Camisão;Vila Gomes;690.000;348;167;167;4;4;5;5;3;3
Rua Artur Andrade;Vila Marari;440.000;64;90;90;2;2;5;5;2;2
Rua Antônio de Castro Mendonça Furtado;Conjunto Residencial Butantã;750.000;373;140;140;3;3;3;3;2;2
Rua San Salvador;Jardim América;12.990.000;0;664;664;6;6;5;5;5;5
Rua Eduardo Saigh Filho;Vila Tramontano;3.200.000;251;600;600;4;4;6;6;5;5
Rua Cayowaá;Sumaré;990.000;1755;131;131;3;3;3;3;1;1
Rua Guihei Vatanabe;Vila Progredior;650.000;83;70;70;3;3;2;2;2;2
Rua Filadelfo Aranha;Vila Madalena;6.300.000;35;483;483;4;4;2;2;2;2
Rua Mário Gonçalves de Oliveira;Fazenda Morumbi;1.300.000;138;380;380;5;5;7;7;4;4
Rua Sargento Gilberto Marcondes Machado;Paineiras do Morumbi;5.000.000;147;850;850;5;5;6;6;6;6
Rua Paris;Sumaré;890.000;455;125;125;2;2;2;2;2;2
Rua Padre Marchetti;Ipiranga;550.000;33;145;145;2;2;3;3;2;2
Rua Professor Gabriel Ortiz;Jardim Guedala;2.250.000;37738888;542;542;4;4;8;8;6;6
Rua Alberto Faria;Alto de Pinheiros;6.890.000;1300;523;523;5;5;1;1;6;6
Rua Azevedo e Britto;Vila Formosa;750.000;95;129;129;2;2;2;2;2;2
Rua Mongubá;Vila Carrão;466.000;569;94;94;3;3;2;2;2;2
Rua Ribeiro do Vale;Brooklin;1.800.000;1163;220;220;3;3;3;3;3;3
Rua Frei Bonifácio Dux;Jardim Colombo;890.000;510;232;232;3;3;3;3;4;4
Rua Mendes Pais;Vila Nova Conceição;3.300.000;211;230;230;4;4;1;1;2;2
Rua José Guilherme Guimarães Pedroso;Vila Campo Grande;590.000;0;220;220;3;3;4;4;8;8
Rua Sampaio Vidal;Jardim Paulistano;5.800.000;297;244;244;2;2;4;4;2;2
Rua Corveta Camacua;Vila Inah;1.200.000;200;360;360;4;4;5;5;6;6
Rua Sebastião Falconi;Jardim Taboao;550.000;168;162;162;3;3;3;3;2;2
Rua Barajuba;Alto de Pinheiros;5.500.000;111;420;420;4;4;4;4;4;4
Rua João Geraldo;Vila Matilde;480.012;136;115;115;3;3;2;2;2;2
Rua Luís Araújo Faria;Jardim Monte Kemel;640.000;317;150;150;3;3;1;1;3;3
Rua Puréus;Jardim Guedala;6.300.000;37738888;650;650;4;4;6;6;6;6
Rua Izonzo;Sacomã;650.000;100;200;200;3;3;2;2;2;2
Rua Aldo Samarão Guimarães Filho;Jardim Esmeralda;740.000;12;310;310;4;4;3;3;7;7
Rua Guaones;Jardim Guedala;5.000.000;70;600;600;4;4;7;7;6;6
Avenida Morumbi;Morumbi;3.500.000;444;800;800;7;7;7;7;4;4
Rua Silveira Sampaio;Fazenda Morumbi;6.500.000;0;1000;1000;5;5;7;7;4;4
Rua Blumenau;Vila Leopoldina;695.000;105;125;125;3;3;4;4;2;2
Rua Plínio Salgado;Jardim Peri Peri;1.500.000;167;151;151;2;2;2;2;3;3
Rua Caixanas;Jardim Guedala;5.000.000;37738888;551;551;4;4;8;8;6;6
Rua Conselheiro Torres Homem;Jardim Paulista;4.900.000;285;250;250;4;4;5;5;4;4
Rua Perucaba;Tatuapé;1.700.000;153;290;290;2;2;3;3;5;5
Rua Desembargador Teodomiro Dias;Conjunto Residencial Butantã;700.000;600;110;110;3;3;1;1;1;1
Rua Maria Teresa Assunção;Vila São Geraldo;636.000;618;160;160;3;3;3;3;2;2
Rua João Batista Leme da Silva;Vila Madalena;1.500.000;115;170;170;3;3;3;3;2;2
Travessa Doutor Adilson Rodrigues;Vila Mariana;660.000;6;140;140;3;3;2;2;1;1
Rua Laerte Assunção;Jardim Paulistano;7.000.000;96;400;400;4;4;6;6;5;5
Rua Henrique Martins;Jardim Paulista;18.000.000;50;723;723;3;3;6;6;4;4
Rua Domingos Neto;Vila Marari;450.000;40;80;80;1;1;1;1;2;2
Rua Milton Strenger;Parque Continental;750.000;0;150;150;3;3;2;2;2;2
Rua Bernardo Sanches;Real Parque;2.200.000;60;533;533;3;3;5;5;6;6
Rua Inácio Manuel Álvares;Jardim Ester;770.000;886;178;178;3;3;4;4;5;5
Rua Acutiranha;Jardim Panorama;3.950.000;169;510;510;4;4;4;4;4;4
Rua Visconde de Sabóia;Vila Macedópolis;579.000;315;90;90;3;3;3;3;4;4
Rua Francisco Pais;Jardim Ipanema (Zona Sul);690.000;316;350;350;2;2;1;1;2;2
Rua Doutor Ivan Maia de Vasconcelos;Cidade Patriarca;636.000;212;123;123;3;3;5;5;3;3
Rua Maestro Savino de Benedictis;Rio Pequeno;398.000;143;100;100;2;2;1;1;2;2
Rua Fortunato Minozzi;Imirim;450.000;225;114;114;3;3;1;1;2;2
Rua Vasco Crevatin;Vila Nova Conceição;7.000.000;50;300;300;3;3;4;4;3;3
Rua Doutor Elias Chaves;Campos Elíseos;1.300.000;175;530;530;3;3;4;4;6;6
Rua Emboabas;Brooklin Paulista;800.000;143;235;235;4;4;1;1;3;3
Rua Ernesto Zuanella;Parque Continental;990.000;228;230;230;3;3;4;4;4;4
Rua Félix Guilhem;Lapa de Baixo;550.000;899;85;85;2;2;1;1;4;4
Rua Ermelinda Americano;Perdizes;1.500.000;117;200;200;3;3;3;3;2;2
Alameda dos Piratinins;Planalto Paulista;1.600.000;562;266;266;4;4;4;4;3;3
Rua Cláudio Xavier;Jardim de Lorenzo;650.000;29;170;170;3;3;2;2;5;5
Rua Arandu;Brooklin Paulista;1.800.000;737;430;430;6;6;3;3;3;3
Rua Dom Tomás Costa e Lima;Vila Tramontano;4.900.000;0;388;388;3;3;5;5;8;8
Rua José Osvaldo Ribeiro;Vila Guilhermina;585.000;10;125;125;3;3;2;2;1;1
Rua Jacob Maris;Instituto de Previdência;980.000;50;350;350;3;3;5;5;3;3
Rua Doutor Nério Nunes;Jardim Germânia;800.000;189;300;300;3;3;1;1;5;5
Rua Nebraska;Brooklin Novo;2.950.000;835;240;240;4;4;4;4;6;6
Avenida Pascoal da Rocha Falcão;Jardim Santa Helena;990.000;544;300;300;4;4;4;4;3;3
Rua Batista de Oliveira;Vila Formosa;1.914.000;74;294;294;2;2;1;1;4;4
Rua Doutor Jesuíno de Abreu;Jardim Morumbi;1.450.000;278;285;285;4;4;5;5;6;6
Rua Miralta;Alto de Pinheiros;5.500.000;50;534;534;4;4;2;2;4;4
Rua Honorato Faustino;Alto de Pinheiros;3.300.000;6;215;215;3;3;2;2;10;10
Rua Eusébio de Paula Marcondes;Rio Pequeno;350.000;513;120;120;2;2;1;1;2;2
Rua Doutor Paulo Queiroz;Jardim Nove de Julho;450.000;1730;520;520;3;3;2;2;2;2
Rua Antônio Boz Marfil;Parque dos Príncipes;2.000.000;25;407;407;4;4;6;6;6;6
Rua Roque Giangrande Filho;Jardim Itapeva;600.000;190;100;100;2;2;1;1;2;2
Rua Tapes;Jardim Aeroporto;840.000;878;152;152;5;5;5;5;4;4
Rua Jordão da Costa;Vila Nhocune;560.000;99;180;180;3;3;3;3;3;3
Rua Emanuel Guedes;Conjunto Residencial Butantã;550.000;252;145;145;11;11;1;1;2;2
Rua Antônio Cubas;Vila Santa Edwiges;700.000;283;150;150;3;3;4;4;3;3
Rua Franca do Imperador;Jardim Vera Cruz(Zona Leste);350.000;241;640;640;3;3;2;2;5;5
Rua Aleixo da Silva;Vila Almeida;830.000;131;132;132;3;3;3;3;4;4
Rua Joaquim Cândido de Azevedo Marques;Vila Morumbi;2.765.000;1515;495;495;5;5;6;6;3;3
Rua Araxiá;Jardim Guedala;2.350.000;122;456;456;4;4;5;5;3;3
Rua Bernardino Machado;Granja Julieta;3.920.000;321;893;893;7;7;9;9;4;4
Rua Sebastião Cabot;Jardim Guedala;3.300.000;391;390;390;3;3;3;3;4;4
Rua Edmon Mário Hage;Planalto Paulista;850.000;76;331;331;3;3;3;3;4;4
Rua Professor Eduardo Monteiro;Jardim Leonor;1.295.000;37738888;262;262;6;6;8;8;4;4
Rua Lázaro José Gonçalves;Jardim Avelino;1.950.000;164;400;400;3;3;5;5;6;6
Rua Lourenço Castanho;Vila Nova Conceição;4.000.000;50;350;350;4;4;2;2;4;4
Rua Atlântica;Jardim América;9.900.000;50;420;420;4;4;8;8;10;10
Rua Sônia Ribeiro;Brooklin;2.300.000;1342;260;260;4;4;6;6;3;3
Rua Conceição Russomano Pugliese;Vila Indiana;1.200.000;94;100;100;2;2;2;2;2;2
Rua Maria Celina;Cursino;797.900;119;180;180;3;3;2;2;2;2
Avenida Sanatório;Jardim Modelo;250.000;977;100;100;1;1;1;1;1;1
Avenida Diogo Gomes Carneiro;Jardim Rosa Maria;820.000;400;145;145;3;3;2;2;2;2
Rua Ipiranga;Jardim Aeroporto;590.000;311;120;120;2;2;3;3;2;2
Rua Filipe Cardoso;Cursino;2.300.000;381;340;340;3;3;4;4;4;4
Rua Abadiânia;Vila Guilhermina;635.000;430;183;183;3;3;3;3;2;2
Rua José Renato Pantoja;Vila Sonia;1.100.000;86;160;160;3;3;3;3;4;4
Rua Tapirapés;Balneário Mar Paulista;900.000;41;250;250;4;4;4;4;10;10
Rua Professor José Geraldo de Lima;Vila Tiradentes;650.000;232;150;150;3;3;3;3;2;2
Rua Bastos Pereira;Vila Nova Conceição;7.000.000;267;440;440;4;4;4;4;3;3
Rua Jurupari;Jardim Oriental;630.000;487;179;179;3;3;4;4;4;4
Rua Curucáia;Saúde;820.000;0;150;150;2;2;4;4;2;2
Rua Campo Grande;Vila Leopoldina;1.600.000;175;244;244;3;3;3;3;3;3
Rua Visconde de Aguiar Toledo;Vila Congonhas;1.750.000;50;195;195;3;3;4;4;2;2
Rua Laiana;Boaçava;4.500.000;3;435;435;4;4;1;1;6;6
Rua Alasca;Jardim América;17.500.000;144;650;650;5;5;5;5;8;8
Rua Alvorada do Sul;Jardim Guedala;2.900.000;285;330;330;4;4;5;5;2;2
Rua Paulo Barian;Jardim Raposo Tavares;500.000;184;160;160;1;1;1;1;2;2
Praça Barão Pinto Lima;Boaçava;4.350.000;4;520;520;4;4;6;6;8;8
Rua Dom Macário;Vila da Saúde;1.400.000;175;312;312;3;3;4;4;6;6
Rua Teixeira Pinto;Jardim Paulista;5.500.000;50;390;390;4;4;3;3;6;6
Rua Arthur Soter Lopes da Silva;Jardim Esmeralda;660.000;326;140;140;3;3;2;2;2;2
Rua Manuel Marques Simões;Cidade Jardim;4.200.000;0;1300;1300;5;5;7;7;6;6
Rua Keisuke Koza;Jardim Trussardi;500.000;0;180;180;2;2;3;3;4;4
Rua João Gomes Barbosa;Jardim Alvorada (Zona Oeste);689.000;0;230;230;3;3;3;3;2;2
Rua Anatólia;Boaçava;5.000.000;6;615;615;4;4;8;8;8;8
Rua Pascoal Pais;Vila Cordeiro;2.000.000;393;210;210;3;3;5;5;4;4
Rua Luiz Nunes;Parque Ramos Freitas;250.000;7;200;200;3;3;2;2;1;1
Rua das Açucenas;Cidade Jardim;5.400.000;50;500;500;4;4;7;7;4;4
Rua Vercínio Pereira de Souza;Jardim Tietê;260.000;872;140;140;1;1;1;1;2;2
Avenida Mauro Marques da Silva;Vila Antônio;375.000;156;80;80;2;2;1;1;2;2
Rua Carlos Petit;Vila Mariana;2.800.000;175;400;400;11;11;5;5;3;3
Rua Luiz Galhanone;Jardim Viana;2.500.000;404;280;280;4;4;5;5;3;3
Rua Oliveira Pimentel;Jardim Paulista;8.900.000;148;502;502;4;4;4;4;8;8
Rua Manuel Antônio Carvalho;Vila Clarice;398.000;1;90;90;3;3;2;2;2;2
Rua Manuel Navarro;Jardim Guedala;3.300.000;37738888;470;470;4;4;8;8;4;4
Rua Antônio Bento;Jardim Paulista;5.200.000;50;476;476;4;4;5;5;3;3
Rua Teresa Lon;Jardim Patente Novo;780.000;0;190;190;3;3;4;4;4;4
Rua Veríssimo da Silva;Jardim Nossa Senhora do Carmo;385.000;0;97;97;2;2;3;3;2;2
Rua Jacarezinho;Jardim Europa;18.900.000;355;1300;1300;5;5;8;8;10;10
Rua Melo Morais Filho;Jardim Guedala;8.500.000;100;545;545;4;4;5;5;3;3
Rua Araucária;Jardim Franca;929.000;243;251;251;3;3;3;3;3;3
Rua Antônio Calixto Abrão;Parque Imperial;590.000;63;96;96;2;2;2;2;3;3
Rua Coelho de Carvalho;Alto da Lapa;1.280.000;330;220;220;3;3;4;4;4;4
Rua Faustolo;Lapa;900.000;106;205;205;3;3;1;1;1;1
Rua Gastão da Cunha;Vila Paulista;690.000;324;177;177;3;3;2;2;2;2
Rua Salvador Fiordelisio;Vila Bertioga;599.000;160;77;77;3;3;4;4;2;2
Avenida Lineu de Paula Machado;Jardim Everest;3.600.000;13;700;700;5;5;5;5;10;10
Rua Professor Wlademir Pereira;Vila São Silvestre;1.300.000;235;190;190;4;4;5;5;3;3
Rua Nossa Senhora do Pilar;Jardim Trussardi;690.000;0;100;100;3;3;3;3;2;2
Rua Antistenes;Jardim São Jorge;345.000;121;75;75;2;2;1;1;2;2
Rua Escobar Ortiz;Vila Nova Conceição;5.300.000;50;200;200;3;3;4;4;6;6
Rua Jairo de Almeida Machado;Jaraguá;395.000;253;65;65;3;3;2;2;2;2
Rua Antilhas;Jardim América;12.000.000;50;600;600;5;5;6;6;10;10
Rua Godofredo Braga;Vila Fachini;379.000;39;126;126;2;2;2;2;3;3
Rua Radiantes;Jardim Leonor;4.950.000;37738888;708;708;5;5;6;6;10;10
Avenida Odila;Planalto Paulista;2.300.000;1;309;309;3;3;5;5;2;2
Rua Comandante Ismael Guilherme;Jardim Luzitânia;9.800.000;50;499;499;4;4;5;5;3;3
Rua Professora Altina Maynardi de Araújo;Parque São Domingos;775.000;3;118;118;3;3;4;4;2;2
Rua Pedro de Toledo;Vila Clementino;4.500.000;1900;260;260;2;2;3;3;5;5
Rua Augusto Perroni;Conjunto Residencial Butantã;790.000;247;167;167;2;2;3;3;3;3
Rua Maestro Vasconcelos Chaves;Vila Rui Barbosa;270.000;228;60;60;1;1;1;1;2;2
Rua Berlioz;Alto de Pinheiros;2.300.000;695;658;658;3;3;4;4;4;4
Rua Irmã Clotilde;Vila Formosa;405.000;338;136;136;2;2;1;1;1;1
Rua Olímpia Lemes da Silva;Jardim das Vertentes;700.000;108;150;150;3;3;3;3;2;2
Rua Votuverava;Jardim Guedala;4.499.000;0;736;736;5;5;3;3;12;12
Rua Lactâncio;Vila Nova Curuçá;900.000;537;254;254;2;2;1;1;6;6
Avenida Benjamim Mansur;Instituto de Previdência;870.000;26;126;126;3;3;2;2;2;2
Rua Sibipiruna;Parque dos Príncipes;5.000.000;466;720;720;3;3;3;3;6;6
Rua Evaristo da Veiga;Catumbi;749.000;81;125;125;2;2;3;3;2;2
Rua Tucuna;Pompeia;2.300.000;250;340;340;3;3;3;3;8;8
Rua Inocêncio Nogueira;Cidade Jardim;4.800.000;0;659;659;5;5;5;5;8;8
Avenida Professor José Maria Alkmin;Jardim Ester;650.000;0;150;150;3;3;2;2;3;3
Largo da Batalha;Jardim Luzitânia;5.250.000;42;300;300;3;3;4;4;3;3
Rua Alessandro Araldi;Jardim dos Pinheiros;820.000;109;179;179;3;3;4;4;3;3
Rua Almerindo Alziro Paganini;Jardim Popular;425.000;359;104;104;2;2;2;2;2;2
Rua José Alencar Castelo Branco;Siciliano;1.100.000;103;130;130;3;3;3;3;3;3
Rua Doutor João Maia;Aclimação;2.200.000;183;311;311;4;4;6;6;3;3
Rua dos Franceses;Morro dos Ingleses;1.150.000;44;236;236;3;3;1;1;4;4
Rua Belarmino Barreto;Vila Fachini;370.000;52;95;95;2;2;2;2;2;2
Rua Doutor Domingos de Sylos;Brooklin;800.000;55;144;144;3;3;4;4;2;2
Rua Francisco Carvalho Henriques;Lar São Paulo;1.300.000;146;253;253;3;3;6;6;6;6
Rua Doutor Cristiano de Sousa;Jardim Leonor;1.300.000;140;341;341;4;4;4;4;4;4
Rua Umberto Corradi;Vila Gomes Cardim;2.300.000;68;600;600;4;4;7;7;4;4
Rua Coronel Bento Noronha;Jardim Paulistano;14.000.000;50;934;934;5;5;8;8;7;7
Rua Almirante Pereira Guimarães;Pacaembu;2.200.000;0;457;457;4;4;2;2;7;7
Rua Doutor Odon Carlos de Figueiredo Ferraz;Parque São Domingos;1.350.000;1054;305;305;4;4;6;6;5;5
Rua Doutor João Dalmácio Azevedo;Cidade Jardim;8.400.000;81;900;900;4;4;6;6;8;8
Rua Giácomo Carissimi;Vila Adalgisa;580.000;178;120;120;3;3;2;2;2;2
Rua Luís da Silva Araújo;Jardim Leonor Mendes de Barros;1.090.000;94;287;287;4;4;6;6;6;6
Rua General Calado;Vila Regente Feijó;900.000;192;194;194;4;4;4;4;2;2
Rua Angatuba;Pacaembu;10.000.000;519;687;687;4;4;6;6;4;4
Rua Doutor João Vieira Neves;Jardim Esmeralda;550.000;125;140;140;3;3;2;2;3;3
Rua Geremia Lunardelli;Jardim Peri Peri;900.000;382;200;200;3;3;5;5;4;4
Rua General Pereira da Cunha;Retiro Morumbi;19.000.000;505;2200;2200;6;6;6;6;12;12
Rua Laplace;Brooklin;2.800.000;962;634;634;5;5;4;4;4;4
Rua Pedro Inácio de Araújo;Vila São Silvestre;590.000;202;98;98;2;2;1;1;2;2
Rua Maria Celina;Vila Firmiano Pinto;799.000;73;140;140;3;3;3;3;2;2
Rua Milton Soares;Jardim Sarah;350.000;91;100;100;2;2;2;2;2;2
Rua Orozimbo Maia;Alto da Mooca;2.000.000;171;220;220;6;6;7;7;6;6
Travessa Nicolas Jancu;Jardim Virginia Bianca;1.684.000;0;367;367;3;3;4;4;4;4
Rua João Cordeiro;Vila Carrão;1.580.000;0;480;480;4;4;10;10;4;4
Rua México;Jardim América;30.000.000;50;581;581;3;3;3;3;20;20
Rua Bartolomeu Rampini;Parque Maria Fernandes;300.000;111;200;200;4;4;1;1;1;1
Rua David Ben Gurion;Jardim Monte Kemel;900.000;955;179;179;4;4;5;5;4;4
Rua Eva Bloch;Bosque da Saúde;1.802.000;11;150;150;4;4;3;3;4;4
Rua Rubem de Souza;Vila Inglesa;1.400.000;36;390;390;3;3;2;2;3;3
Rua André Rebouças;Vila Piauí;400.000;0;75;75;2;2;2;2;1;1
Rua Porto Rico;Jardim América;20.200.000;48;701;701;4;4;4;4;6;6
Avenida Eugênio Bartolomai;Jardim Santa Helena;1.290.000;193;290;290;3;3;3;3;4;4
Rua Ribeiro do Vale;Brooklin Paulista;1.590.000;0;250;250;3;3;4;4;3;3
Rua Sanharó;Jardim Guedala;1.700.000;0;286;286;2;2;4;4;4;4
Rua Alemanha;Jardim Europa;7.700.000;50;550;550;3;3;4;4;4;4
Rua Áurea Batista dos Santos;Vila Morse;850.000;926;240;240;3;3;3;3;2;2
Rua Saclara;Vila Industrial;280.000;0;90;90;3;3;3;3;3;3
Rua Noruega;Jardim Europa;15.000.000;0;878;878;4;4;8;8;8;8
Rua D'Ouro;Jardim Luzitânia;7.980.000;50;415;415;3;3;5;5;8;8
