Logradouro;Bairro;Preço (R$);Número;Mínimo Área (m²);Máximo Área (m²);Mínimo Quartos;Máximo Quartos;Mínimo Banheiros;Máximo Banheiros;Mínimo Vagas;Máximo Vagas
Rua Coronel Melo de Oliveira;Perdizes;1.272.000;704;184;184;3;3;3;3;2;2
Rua Amélia da Silveira;Jardim Vivan;620.000;44;176;176;3;3;4;4;2;2
Rua Alberto Lohnhoff;Lauzane Paulista;455.000;60;88;88;3;3;3;3;1;1
Rua José Ubaldo Lomônaco;Jardim da Glória;3.150.000;173;430;430;5;5;6;6;4;4
Rua Bolívia;Jardim América;11.489.000;200;1060;1060;4;4;5;5;9;9
Rua Vergueiro;Cursino;570.000;5114;113;113;3;3;2;2;2;2
Rua Joaquim Lima de Moraes;Santo Amaro;1.500.000;5;224;224;3;3;4;4;2;2
Rua Jorge Fares;Jardim São Luís;540.000;80;127;127;3;3;1;1;2;2
Rua Antônio Sales de Camargo;Bosque da Saúde;960.000;86;118;118;4;4;5;5;3;3
Rua Açaré;Alto de Pinheiros;2.900.000;63;252;252;3;3;5;5;4;4
Rua Cristiano Viana;Cerqueira César;1.300.000;961;155;155;3;3;1;1;1;1
Rua Muller Carioba;Jardim da Saúde;660.000;153;230;230;3;3;2;2;3;3
Rua Comendador Gabriel Calfat;Jardim Leonor;2.750.000;51;554;554;4;4;7;7;4;4
Rua Barbalha;Alto da Lapa;949.000;90;229;229;3;3;2;2;2;2
Rua Salvador Simões;Vila Dom Pedro I;972.000;0;198;198;3;3;4;4;3;3
Rua Alexandre Teixeira;Vila Euthalia;350.000;85;130;130;2;2;2;2;2;2
Alameda dos Apetupás;Planalto Paulista;2.100.000;550;400;400;4;4;4;4;4;4
Rua Roncador;Vila Corberi;340.000;11;100;100;3;3;1;1;2;2
Rua Bariri;Vila Carrão;630.000;0;170;170;3;3;2;2;4;4
Rua Helena Ricceli Luchetti;Parque Savoy City;580.000;190;160;160;3;3;2;2;2;2
Rua Dinamarca;Jardim Europa;10.600.000;136;600;600;7;7;7;7;6;6
Travessa Doutor Ezequiel Antunes de Oliveira;Vila Nova Conceição;2.850.000;103;120;120;3;3;4;4;3;3
Rua Ximbó;Aclimação;800.000;410;140;140;4;4;3;3;4;4
Rua Chico de Paula;Nossa Senhora do Ó;1.350.000;514;354;354;5;5;5;5;6;6
Rua Gregório Lazzarini;Jardim Três Marias;380.000;55;120;120;3;3;3;3;4;4
Rua Professor Guilherme Belfort Sabino;Campininha;440.000;230;164;164;2;2;1;1;1;1
Rua Thomaz Antônio Villani;Vila Santa Maria;780.000;50;140;140;3;3;2;2;3;3
Rua Nélio Batista Guimarães;Parque Boturussu;420.000;0;171;171;3;3;1;1;4;4
Rua Ipomeias;Vila Bela;190.000;289;36;36;2;2;1;1;1;1
Rua Dorandia;Jardim Brasil (Zona Norte);600.000;62;100;100;4;4;3;3;4;4
Rua José de Freitas Guimarães;Pacaembu;2.150.000;353;400;400;2;2;5;5;3;3
Rua Mateus Clemente;Jardim Alvorada (Zona Oeste);450.000;0;180;180;3;3;4;4;3;3
Rua Teviot;Vila Nova Conceição;1.620.000;50;120;120;2;2;2;2;2;2
Rua Professor Alfredo Ashcar;Jardim Leonor;1.200.000;185;250;250;3;3;5;5;4;4
Rua Barão de Juparanã;Vila Zelina;990.000;666;230;230;5;5;5;5;2;2
Rua Albertina;Tremembé;1.780.000;135;440;440;3;3;5;5;5;5
Rua Laurindo Sbampato;Vila Guilherme;660.000;62;130;130;3;3;2;2;2;2
Rua Santos Dumont;Jardim Petrópolis;3.490.000;438;763;763;5;5;6;6;4;4
Rua Caropá;Vila Madalena;1.600.000;652;192;192;3;3;3;3;2;2
Rua dos Alcatrazes;Chácara Flora;10.000.000;304;1300;1300;5;5;8;8;9;9
Rua Ovídio Lopes;Parque Boturussu;315.000;157;125;125;2;2;1;1;1;1
Rua Pero Correia;Vila Mariana;1.700.000;892;350;350;6;6;4;4;10;10
Rua Iramaia;Jardim Europa;2.300.000;50;210;210;4;4;3;3;3;3
Rua Bernardino de Campos;Campo Belo;1.740.000;816;320;320;3;3;5;5;2;2
Rua Mestre João;Jardim Vila Formosa;800.000;198;250;250;4;4;2;2;4;4
Avenida Comendador Adibo Ares;Morumbi;3.350.000;1230;686;686;5;5;6;6;5;5
Rua Ícaro Sydow;Cidade Jardim;3.600.000;77;726;726;4;4;6;6;8;8
Rua Miranda Guerra;Jardim Petrópolis;1.450.000;321;250;250;4;4;4;4;3;3
Rua Baguassu;Vila Regente Feijó;1.980.000;67;288;288;3;3;3;3;3;3
Rua Bernardino Pinheiro;Vila Rosaria;650.000;164;195;195;3;3;1;1;5;5
Rua Pedro Rodrigues Marques;Jardim Ana Maria;360.000;0;88;88;2;2;3;3;2;2
Rua Falchi Gianini;Vila Prudente;565.000;497;120;120;3;3;2;2;3;3
Rua Erva Cidreira;Jardim Vista Linda;689.900;85;160;160;3;3;3;3;2;2
Rua Aparaó;Vila Inah;1.980.000;68;320;320;3;3;4;4;7;7
Rua Backer;Cambuci;890.000;2;248;248;3;3;3;3;2;2
Rua Desembargador do Vale;Perdizes;830.000;947;148;148;3;3;2;2;1;1
Rua Pedro Teixeira;Vila Olímpia;1.100.000;180;135;135;3;3;3;3;1;1
Rua Porto Martins;Brooklin Paulista;1.400.000;621;160;160;3;3;1;1;2;2
Rua Princesa Leopoldina;Alto da Lapa;1.500.000;491;150;150;3;3;2;2;4;4
Rua Januário Miraglia;Vila Nova Conceição;2.980.000;148;180;180;3;3;1;1;4;4
Rua Buarque;Vila Inah;1.900.000;317;360;360;4;4;6;6;5;5
Rua Vicente Pereira;Barro Branco (Zona Norte);3.800.000;51;600;600;6;6;7;7;6;6
Rua Doutor Manoel Maria Tourinho;Pacaembu;5.995.500;450;400;400;3;3;3;3;8;8
Rua Afonso José de Carvalho;Vila Madalena;1.595.000;32;300;300;2;2;1;1;2;2
Avenida IV Centenário;Jardim Luzitânia;9.900.000;544;675;675;8;8;6;6;9;9
Rua Mário Whately;Alto da Lapa;1.280.000;41;200;200;3;3;1;1;3;3
Rua Guararapes;Brooklin Paulista;1.100.000;1536;130;130;3;3;1;1;2;2
Rua Marco Aurélio;Vila Romana;950.000;1381;270;270;3;3;2;2;1;1
Rua Domingos Furtado Valadares;Jardim Consórcio;550.000;55;178;178;3;3;4;4;3;3
Rua Joaquim Nabuco;Brooklin Paulista;1.600.000;2050;200;200;3;3;1;1;4;4
Rua Paulo Rafael;Vila Hebe;480.000;51;110;110;2;2;2;2;2;2
Rua Álvaro Rodrigues;Vila Cordeiro;1.276.600;1008;300;300;3;3;2;2;3;3
Rua Doutor João Batista de Lacerda;Quarta Parada;852.000;952;100;100;3;3;1;1;1;1
Rua Jandiro Joaquim Pereira;Morumbi;1.600.000;211;436;436;4;4;5;5;4;4
Rua Morais de Barros;Campo Belo;2.020.000;367;140;140;4;4;2;2;8;8
Avenida Ceci;Planalto Paulista;2.226.000;679;520;520;3;3;1;1;3;3
Rua Turiassu;Perdizes;2.000.000;189;300;300;8;8;4;4;1;1
Rua Boquim;Vila Ida;2.240.000;42;235;235;3;3;4;4;6;6
Rua Barão de São Gabriel;Bela Aliança;2.500.000;87;361;361;4;4;4;4;4;4
Alameda Álvaro de Morais;Planalto Paulista;1.400.000;83;208;208;3;3;1;1;5;5
Rua Visconde de Indaiatuba;Alto da Lapa;2.128.000;126;320;320;3;3;1;1;3;3
Rua Lomas Valentinas;Alto da Lapa;3.290.000;369;300;300;4;4;4;4;4;4
